Name,Price,Rating,Total_Reviews,About,Link
TCL 164 cm (65 inches) 4K Ultra HD Smart QLED Google TV 65C61B (Black),"60,990.",3.9 out of 5 stars,"3,149 ratings"," 
 About this item    Resolution: 4K Ultra HD (3840 x 2160) | Refresh Rate: DLG 120Hz | VRR 120Hz    Connectivity: 3 HDMI Ports to connect set top box, Blu Ray players, gaming console | 1 USB ports to connect hard drive or other USB device | Ethernet | Wi-fi | Bluetooth | 1 Headphone output    Sound: 35 Watts Output | DTS Virtual:X &Dolby Atmos Audio System    Smart TV Features: Google TV | 2 GB RAM+32 GB ROM| DLG 120 Hz | Multiple Eye Care | ONKYO 2.1 CH | T-Screen Pro | DTS Virtual:X |Hands Free Voice Control    Display: QLED Pro TV| Google TV| Dolby Vision -Atmos | HDR 10+ |AiPQ Pro Processor| T-SCREEN- PRO|Slim and Uni-Body Design |MEMC    Warranty Information: 2 Year warranty provided by the manufacturer from date of purchase    
 ›  See more product details   ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzI0MzE5MzAxNzc3NDg6MTczODY0ODYzMzpzcF9hdGY6MzAwMjA1NDQxMDE1NzMyOjowOjo&url=%2FTCL-inches-Ultra-Google-65C61B%2Fdp%2FB0CZLJT499%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.4sQeGz5_WQq8PrwGa8mMqoum7DuqGcTReMhR86lkkqa9Qe4_r1LeWDu-XN6aoE4_d0qqn2iL9wRQmMCuYhP9NoWaP3sEsGhOs3tkrhCMC4Zrb4Qxqjxxddhk-GfPEUtyNLWlf-l9nb2aa-apnjz8awxSJ2d2JVRu_a2FVooYvNvEOdnDmbR9QZY_2Q1aNDr_xm1Ncl-KdDRkVojVNK0R9nd0lriXziNFj0qpC97h3UlkFveys-v3iSmmgW7LDMlsWeiqdzJ3NQFcQmmxvDCoWgXGMyS-O1KOV3VbZX7aAtw.DfN2S4oqs5jKK4NztmxdyIT_8o0Erxj91pk5NfW9p3Q%26dib_tag%3Dse%26keywords%3Dtv%26qid%3D1738648633%26s%3Delectronics%26sr%3D1-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Xiaomi 125 cm (50 inches) X Pro 4K Dolby Vision IQ Series Smart Google TV L50M8-5XIN (Black),"34,990.",4.0 out of 5 stars,554 ratings," 
 About this item    Resolution : 4K Ultra HD (3840 x 2160) | Refresh Rate : 60 Hertz | Viewing angle : 178 degrees    Connectivity: Dual Band Wi-Fi | 3 HDMI | 2 USB ports| Optical port| AV port| Ethernet port | 3.5 mm jack | Bluetooth 5.0    Sound: 40 Watts Output | Dolby Atmos | DTS-X    Smart TV Features: Google TV, Built-In WiFi, Chromecast built-in, 2GB RAM, 16GB ROM, Supported Apps: Netflix, Prime Video, YouTube, Zee5, etc., Ambient Light Sensor, Far Field Microphone, ALLM (Auto Low Latency Mode), Hands Free Voice Control and Google Assistant Operation    Display: 4K Dolby Vision IQ | HDR10+ | HDR 10 | HLG | Reality Flow MEMC | Vivid Picture Engine 2 | Wide Colour Gamut- DCI-P3 94% (typ)    Warranty Information: 1 Year Warranty on Product and 2 Years Warranty on Panel provided by the brand from the date of purchase    
 ›  See more product details   ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzI0MzE5MzAxNzc3NDg6MTczODY0ODYzMzpzcF9hdGY6MzAwMjYxMDg5NjYxMzMyOjowOjo&url=%2FXiaomi-inches-Vision-Google-L50M8-5XIN%2Fdp%2FB0CG5STP81%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.4sQeGz5_WQq8PrwGa8mMqoum7DuqGcTReMhR86lkkqa9Qe4_r1LeWDu-XN6aoE4_d0qqn2iL9wRQmMCuYhP9NoWaP3sEsGhOs3tkrhCMC4Zrb4Qxqjxxddhk-GfPEUtyNLWlf-l9nb2aa-apnjz8awxSJ2d2JVRu_a2FVooYvNvEOdnDmbR9QZY_2Q1aNDr_xm1Ncl-KdDRkVojVNK0R9nd0lriXziNFj0qpC97h3UlkFveys-v3iSmmgW7LDMlsWeiqdzJ3NQFcQmmxvDCoWgXGMyS-O1KOV3VbZX7aAtw.DfN2S4oqs5jKK4NztmxdyIT_8o0Erxj91pk5NfW9p3Q%26dib_tag%3Dse%26keywords%3Dtv%26qid%3D1738648633%26s%3Delectronics%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
TCL 79.97 cm (32 inches) Metallic Bezel-Less HD Ready Smart Android LED TV 32L4B (Black),"8,990.",3.8 out of 5 stars,"6,303 ratings"," 
 About this item    Resolution: HD Ready (1366 x 768) | Refresh Rate: 60 Hertz    Connectivity: 2 HDMI Ports to connect set top box, Blu Ray players, gaming console | 1 USB Port| 1 Headphone output | Wi-Fi| Bluetooth    Sound: 16 Watts output | Dolby Audio MS12Y    Smart TV Features: HD Ready Android TV |In-Built Wi-Fi | Screen Sharing | 1 GB RAM |8 GB ROM | 64-bit Quad Core Processor |Ai-Clarity|Multi View Mode| T-Screen |In-Built Apps: Netflix, Prime Video, Disney+Hotstar    Display:HD Ready LED Panel | 178 Degree Wide Viewing Angle | AiPQ Engine | HDR 10 |Micro Dimming | Bezel-Less Design    Warranty Information: 2 Year provided by the manufacturer from date of purchase    
 ›  See more product details   ",https://www.amazon.in/TCL-Metallic-Bezel-Less-Android-32L4B/dp/B0CZ6TRNGT/ref=sr_1_3?dib=eyJ2IjoiMSJ9.4sQeGz5_WQq8PrwGa8mMqoum7DuqGcTReMhR86lkkqa9Qe4_r1LeWDu-XN6aoE4_d0qqn2iL9wRQmMCuYhP9NoWaP3sEsGhOs3tkrhCMC4Zrb4Qxqjxxddhk-GfPEUtyNLWlf-l9nb2aa-apnjz8awxSJ2d2JVRu_a2FVooYvNvEOdnDmbR9QZY_2Q1aNDr_xm1Ncl-KdDRkVojVNK0R9nd0lriXziNFj0qpC97h3UlkFveys-v3iSmmgW7LDMlsWeiqdzJ3NQFcQmmxvDCoWgXGMyS-O1KOV3VbZX7aAtw.DfN2S4oqs5jKK4NztmxdyIT_8o0Erxj91pk5NfW9p3Q&dib_tag=se&keywords=tv&qid=1738648633&s=electronics&sr=1-3
VW 80 cm (32 inches) Playwall Frameless Series HD Ready Android Smart LED TV VW32F5 (Black),"7,999.",4.0 out of 5 stars,"7,413 ratings"," 
 About this item    Resolution: HD Ready (1366 x 768) | Refresh Rate: 60 hertz | Viewing angle: 178 degree    Connectivity: HDMI Ports to connect Set-Top Box, Blu Ray players, Gaming Console | USB Ports to connect Hard Drives & other USB devices | Wifi | LAN (Ethernet)    Sound : 24 Watts Output | Stereo Surround Sound with Box Speakers | 5 Sound Modes    Smart TV Features : Prime Video, Hotstar, Netflix, Zee5 and more | IPE Technology | PC Connectivity | Playwall | Quad Core Processor | Screen Mirroring    Display: A+ Grade Panel | IPE Technology | True Colour | Frameless Design    1 year warranty provided by the manufacturer from date of purchase    
 ›  See more product details   ",https://www.amazon.in/VW-Playwall-Frameless-Android-VW32F5/dp/B0DBLLYXVV/ref=sr_1_4?dib=eyJ2IjoiMSJ9.4sQeGz5_WQq8PrwGa8mMqoum7DuqGcTReMhR86lkkqa9Qe4_r1LeWDu-XN6aoE4_d0qqn2iL9wRQmMCuYhP9NoWaP3sEsGhOs3tkrhCMC4Zrb4Qxqjxxddhk-GfPEUtyNLWlf-l9nb2aa-apnjz8awxSJ2d2JVRu_a2FVooYvNvEOdnDmbR9QZY_2Q1aNDr_xm1Ncl-KdDRkVojVNK0R9nd0lriXziNFj0qpC97h3UlkFveys-v3iSmmgW7LDMlsWeiqdzJ3NQFcQmmxvDCoWgXGMyS-O1KOV3VbZX7aAtw.DfN2S4oqs5jKK4NztmxdyIT_8o0Erxj91pk5NfW9p3Q&dib_tag=se&keywords=tv&qid=1738648633&s=electronics&sr=1-4
VW 80 cm (32 inches) Frameless Series HD Ready Android Smart LED TV VW32S (Black),"7,299.",4.0 out of 5 stars,"9,680 ratings"," 
 About this item    Resolution: HD Ready (1366x768) | Refresh Rate: 60 hertz | Viewing Angle: 178 degrees    Connectivity: 1 HDMI ports to connect set top box, Blu Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices    Sound : 20 Watts output | Powerful Stereo Output | Power Audio, Music Equalizer    Display: IPE Techonology, Eco Vision, Cinema Mode, Cinema Zoom, Supports 16.7 million colours    Smart TV Features: Built-in WiFi, Android, Screen Mirroring, PC Connectivity, Wireless Headphone Control, EcoD    Warranty Information: 1 year warranty provided by Visio World from date of purchase    
 ›  See more product details   ",https://www.amazon.in/Visio-World-inches-VW32S-Ready/dp/B07MNNH484/ref=sr_1_5?dib=eyJ2IjoiMSJ9.4sQeGz5_WQq8PrwGa8mMqoum7DuqGcTReMhR86lkkqa9Qe4_r1LeWDu-XN6aoE4_d0qqn2iL9wRQmMCuYhP9NoWaP3sEsGhOs3tkrhCMC4Zrb4Qxqjxxddhk-GfPEUtyNLWlf-l9nb2aa-apnjz8awxSJ2d2JVRu_a2FVooYvNvEOdnDmbR9QZY_2Q1aNDr_xm1Ncl-KdDRkVojVNK0R9nd0lriXziNFj0qpC97h3UlkFveys-v3iSmmgW7LDMlsWeiqdzJ3NQFcQmmxvDCoWgXGMyS-O1KOV3VbZX7aAtw.DfN2S4oqs5jKK4NztmxdyIT_8o0Erxj91pk5NfW9p3Q&dib_tag=se&keywords=tv&qid=1738648633&s=electronics&sr=1-5
Redmi Xiaomi 80 cm (32 inches) F Series HD Ready Smart LED Fire TV L32MA-FVIN (Black),"12,599.",4.1 out of 5 stars,"8,868 ratings"," 
 About this item    Resolution: HD Ready (1366x768) | Refresh Rate: 60 hertz | 178 wide viewing angle    Connectivity: Dual Band Wi-Fi (2.4 GHz/ 5 GHz) | 2 HDMI ports to connect set top box, gaming consoles, DVD or Blu-ray Players | 2 USB ports to connect hard drives and other USB devices | ARC | Bluetooth 5.0 | Ethernet | 3.5mm earphone Jack    Sound: 20 Watts Output | Dolby Audio | DTS Virtual: X | DTS-HD    Smart TV Features : Fire TV Built-In | Supported Apps: Prime Video | Netflix | Disney+ Hotstar | YouTube | 12000+ apps from App Store | Voice Remote with Alexa | DTH Set-Top Box Integration to switch between DTH TV Channels and OTT apps from home screen | Display Mirroring - Airplay & Miracast | Quad core ARM Cortex-A35 CPU @ 2.0GHz | 1GB RAM + 8GB Internal Storage    Display: Metal bezel-less Screen | Vivid Picture Engine    Warranty Information: 1 year comprehensive warranty on product and 1 year additional on Panel provided by the brand from the date of delivery    
 ›  See more product details   ",https://www.amazon.in/Redmi-inches-Ready-Smart-L32MA-FVIN/dp/B0D4LJ9WVW/ref=sr_1_6?dib=eyJ2IjoiMSJ9.4sQeGz5_WQq8PrwGa8mMqoum7DuqGcTReMhR86lkkqa9Qe4_r1LeWDu-XN6aoE4_d0qqn2iL9wRQmMCuYhP9NoWaP3sEsGhOs3tkrhCMC4Zrb4Qxqjxxddhk-GfPEUtyNLWlf-l9nb2aa-apnjz8awxSJ2d2JVRu_a2FVooYvNvEOdnDmbR9QZY_2Q1aNDr_xm1Ncl-KdDRkVojVNK0R9nd0lriXziNFj0qpC97h3UlkFveys-v3iSmmgW7LDMlsWeiqdzJ3NQFcQmmxvDCoWgXGMyS-O1KOV3VbZX7aAtw.DfN2S4oqs5jKK4NztmxdyIT_8o0Erxj91pk5NfW9p3Q&dib_tag=se&keywords=tv&qid=1738648633&s=electronics&sr=1-6
Samsung 80 cm (32 inches) HD Ready Smart LED TV UA32T4380AKXXL (Glossy Black),"14,990.",4.1 out of 5 stars,"11,911 ratings"," 
 About this item    Resolution: HD Ready (1366x768) | Refresh Rate: 60 hertz    Connectivity: 2 HDMI ports to connect set top box, Blu Ray players, gaming console | 1 USB ports to connect hard drives and other USB devices    Sound : 20 Watts Output | Dolby Digital Plus    Smart TV Features : Personal Computer | Screen Share | Music System | Content Guide | Connect Share Movie    Display : LED Panel | Mega Contrast | PurColor | HD Picture Quality | Slim & Stylish Design    Warranty Information: 1 year comprehensive warranty plus additional 1 years on panel by brand from date of invoice    
 ›  See more product details   ",https://www.amazon.in/Samsung-inches-Ready-UA32T4380AKXXL-Glossy/dp/B0B8YTGC23/ref=sr_1_7?dib=eyJ2IjoiMSJ9.4sQeGz5_WQq8PrwGa8mMqoum7DuqGcTReMhR86lkkqa9Qe4_r1LeWDu-XN6aoE4_d0qqn2iL9wRQmMCuYhP9NoWaP3sEsGhOs3tkrhCMC4Zrb4Qxqjxxddhk-GfPEUtyNLWlf-l9nb2aa-apnjz8awxSJ2d2JVRu_a2FVooYvNvEOdnDmbR9QZY_2Q1aNDr_xm1Ncl-KdDRkVojVNK0R9nd0lriXziNFj0qpC97h3UlkFveys-v3iSmmgW7LDMlsWeiqdzJ3NQFcQmmxvDCoWgXGMyS-O1KOV3VbZX7aAtw.DfN2S4oqs5jKK4NztmxdyIT_8o0Erxj91pk5NfW9p3Q&dib_tag=se&keywords=tv&qid=1738648633&s=electronics&sr=1-7
VW 109 cm (43 inches) Playwall Frameless Series Full HD Android Smart LED TV VW43F2 (Black),"13,999.",4.0 out of 5 stars,"7,413 ratings"," 
 About this item    Resolution: FHD (1920 x 1080) | Refresh Rate: 60 Hertz | Viewing Angle: 178 degrees    Connectivity: 2 HDMI ports to connect set top box, Blu Ray players, gaming console | 2 USB ports to connect hard drives & other USB devices | 1 Optical Output to connect high end soundbars, speakers | Wifi | LAN (Ethernet    Sound : 24 Watts Output | Stereo Surround Sound with Box Speakers | 5 Sound Modes    Smart TV Features : Miracast, Supported Apps: Prime Video, Youtube, Zee5, plex, YUPPTV, Eros now, ALJAZEERA, Live News | Quad core processor | Linux OS    Display: IPE Techonology, Eco Vision, Cinema Mode, Cinema Zoom, Supports 16.7 Million Colours    1 year warranty provided by the manufacturer from date of purchase    
 ›  See more product details   ",https://www.amazon.in/VW-Playwall-Frameless-Android-VW43F2/dp/B0DCZMPRXC/ref=sr_1_8?dib=eyJ2IjoiMSJ9.4sQeGz5_WQq8PrwGa8mMqoum7DuqGcTReMhR86lkkqa9Qe4_r1LeWDu-XN6aoE4_d0qqn2iL9wRQmMCuYhP9NoWaP3sEsGhOs3tkrhCMC4Zrb4Qxqjxxddhk-GfPEUtyNLWlf-l9nb2aa-apnjz8awxSJ2d2JVRu_a2FVooYvNvEOdnDmbR9QZY_2Q1aNDr_xm1Ncl-KdDRkVojVNK0R9nd0lriXziNFj0qpC97h3UlkFveys-v3iSmmgW7LDMlsWeiqdzJ3NQFcQmmxvDCoWgXGMyS-O1KOV3VbZX7aAtw.DfN2S4oqs5jKK4NztmxdyIT_8o0Erxj91pk5NfW9p3Q&dib_tag=se&keywords=tv&qid=1738648633&s=electronics&sr=1-8
TCL 79.97 cm (32 inches) Metallic Bezel-Less S Series FHD Smart Android LED TV 32S5500AF (Black),"10,990.",3.8 out of 5 stars,"6,303 ratings"," 
 About this item    Resolution: Full HD (1920 x 1080) | Refresh Rate: 60 Hertz    Connectivity: 2 HDMI Ports to connect set top box, Blu Ray players, gaming console | 1 USB Port| 1 Headphone output | Wi-Fi| Bluetooth    Sound: 24 Watts output | Dolby Audio MS12Y    Smart TV Features: FHD Android TV |In-Built Wi-Fi | Screen Mirroring | 1 GB RAM |8 GB ROM | 64-bit Quad Core Processor | In-Built Apps: Netflix, Prime Video, Disney+Hotstar    Display: FHD LED Panel | 178 Degree Wide Viewing Angle | AiPQ Engine | HDR 10 |Micro Dimming | Bezel-Less Design    Warranty Information: 2 Year provided by the manufacturer from date of purchase    
 ›  See more product details   ",https://www.amazon.in/TCL-Metallic-Bezel-Less-Android-32S5500AF/dp/B0CZ6PVG32/ref=sr_1_9?dib=eyJ2IjoiMSJ9.4sQeGz5_WQq8PrwGa8mMqoum7DuqGcTReMhR86lkkqa9Qe4_r1LeWDu-XN6aoE4_d0qqn2iL9wRQmMCuYhP9NoWaP3sEsGhOs3tkrhCMC4Zrb4Qxqjxxddhk-GfPEUtyNLWlf-l9nb2aa-apnjz8awxSJ2d2JVRu_a2FVooYvNvEOdnDmbR9QZY_2Q1aNDr_xm1Ncl-KdDRkVojVNK0R9nd0lriXziNFj0qpC97h3UlkFveys-v3iSmmgW7LDMlsWeiqdzJ3NQFcQmmxvDCoWgXGMyS-O1KOV3VbZX7aAtw.DfN2S4oqs5jKK4NztmxdyIT_8o0Erxj91pk5NfW9p3Q&dib_tag=se&keywords=tv&qid=1738648633&s=electronics&sr=1-9
Acer 80 cm (32 inches) I Pro Series HD Ready Smart LED Google TV AR32HDIGU2841AT (Black),"11,999.",3.6 out of 5 stars,"1,063 ratings"," 
 About this item    Resolution: HD Ready (1366x768) | Refresh Rate: 60 Hertz | 178 Degree wide viewing angle    Connectivity: Dual band Wifi | Bluetooth 5.0 | AV, RF, Ethernet, headphone×1 | HDMI Ports 1.4 x 2 to connect personal computer, laptop, set top box, gaming console | USB 2.0x1 to connect hard drives or other USB device    Sound: 30 Watts Output | High Fidelity Speakers with Dolby Audio | 5 Sound Modes - Standard, Speech, Music, Stadium, User    Smart TV Features: Google TV with Android 14 | Content Recommendations | Dual Band WiFi | Bluetooth 5.0 | Casting option- Googlecast, Fastcast, Meeting mode | 1.5GB RAM | 16GB Storage | Watchlist | Personal Profile | Kids Profile | Google Assistant | Voice enabled Smart Remote | Hotkeys for Quick Access - Netflix, Prime Video, YouTube, Disney+Hotstar | Quad Core Processor | Screen Saver |    ECO mode | Video calling- Google Meeting and TrueConference | Gamepad    Display: HD | HDR10 | IFSC    Warranty Information: 1 year comprehensive warranty on product from the date of purchase    
 ›  See more product details   ",https://www.amazon.in/Acer-inches-Ready-Google-AR32HDIGU2841AT/dp/B0D9BX9DMB/ref=sr_1_10?dib=eyJ2IjoiMSJ9.4sQeGz5_WQq8PrwGa8mMqoum7DuqGcTReMhR86lkkqa9Qe4_r1LeWDu-XN6aoE4_d0qqn2iL9wRQmMCuYhP9NoWaP3sEsGhOs3tkrhCMC4Zrb4Qxqjxxddhk-GfPEUtyNLWlf-l9nb2aa-apnjz8awxSJ2d2JVRu_a2FVooYvNvEOdnDmbR9QZY_2Q1aNDr_xm1Ncl-KdDRkVojVNK0R9nd0lriXziNFj0qpC97h3UlkFveys-v3iSmmgW7LDMlsWeiqdzJ3NQFcQmmxvDCoWgXGMyS-O1KOV3VbZX7aAtw.DfN2S4oqs5jKK4NztmxdyIT_8o0Erxj91pk5NfW9p3Q&dib_tag=se&keywords=tv&qid=1738648633&s=electronics&sr=1-10
